Table 1
NAME,ID,"AGE (baby < 9 months, young 9months-3 years, adult 3-7 years, senior 7 and up)",SEX,BREED,COLOR,STATUS,LOCATION,"SIZE(DOGS: 0-20 small, 21-60 medium, 61-up large)(cats 0-4 small, 4-8 medium, 8-up large)",TYPE,FEE,
Elsie,NHA-A-20897,young,Female,"Retriever, Labrador, Terrier",black/white,Available,shelter,medium,dog,90,
Shiloh,NHA-A-15467,young,male,"cattle dog, mix",white/brindle,Available,shelter,large,dog,90,
Matilda,NHA-A-24388,baby,Female,"terrier, american pitbull",brindle/white,Available,foster home,medium,dog,90,
Yule,NHA-A-24391,young,male,"shepherd, mix",black/tan,avaliable,foster home,large,dog,90,
Freddy,NHA-A-24408,young,male,"terrier, american pitbull",white/tan,pending,shelter,large,dog,90,
Gus,NHA-A-22095,baby,male,"terrier, mix",black/white,avaliable,shelter,medium,dog,90,
Celexa,NHA-A-24749,baby,female,"Mountain Cur, mix",tan/white,available,shelter,small,dog,150,
Maple,NHA-A-24850,young,female,"cattle dog, red heeler, mix",red/mahogany,available,foster home,medium,dog,90,
Appletin,NHA-A-24677,young,female,"Retriever, Labrador,Terrier",red/mahogany,available,shelter,medium,dog,90,
Polo,NHA-A-24874,baby,male,"terrier, mix",black/tan,Available,shelter,medium,dog,150,
Veranda,NHA-A-24893,baby,Female,"terrier, cattle dog, mix",white/tan,Available,shelter,medium,dog,150,
Layne,NHA-A-24899,baby,male,"Retriever, Labrador, Terrier",tan,Available,foster home,medium,dog,90,
Maddie,NHA-A-24951,young,female,"great pyranese, mix",cream/white,Available,foster home,large,dog,90,
Cider,NHA-A-24960,young,female,mix,brindle/white,Available,shelter,medium,dog,90,
Bucket,NHA-A-24298,young,male,mix,black/white,pending,foster home,large,dog,90,
Oogie,NHA-A-25017,baby,male,mix,cream/white,Available,shelter,small,dog,150,
Wade,NHA-A-7014,adult,male,terrier,white/black,Available,shelter,large,dog,90,
Tilly,NHA-A-24936,baby,Female,"Retriever, Labrador, mix",tan/white,Available,shelter,small,dog,150,
Roxy,NHA-A-25045,adult,female,"shepherd, mix",tan,pending,shelter,medium,dog,90,
Delia,NHA-A-25054,baby,female,"retriever, chocolate labrador, american pit bull",chocolate/white,Available,shelter,small,dog,150,
Lizzie,NHA-A-25110,baby,female,domestic shorthair,black/white,Available,shelter,small,cat,150,
Mi,NHA-A-25103,baby,female,domestic shorthair,brown,Available,shelter,small,cat,150,
Sooty,NHA-A-25106,baby,male,domestic shorthair,black/white,Available,shelter,small,cat,150,
Prudence,NHA-A-21806,adult,male,domestic shorthair,brown,Available,foster home,medium,cat,90,
Tricksy,NHA-A-25002,adult,female,domestic shorthair,orange,Available,shelter,medium,cat,90,
Confetti,NHA-A-25033,baby,male,domestic shorthair,black/white,Available,shelter,small,cat,150,
Callie,NHA-A-25061,baby,female,domestic shorthair,white/buff,pending,shelter,small,cat,150,
Banshee,NHA-A-25102,young,female,domestic shorthair,brown,Available,shelter,medium,cat,80,
Cheese,NHA-A-25101,baby,male,domestic shorthair,orange,Available,shelter,small,cat,150,
Jasper,NHA-A-24764,young,male,domestic shorthair,black,pending,foster home,medium,cat,80,
Shelley,NHA-A-24765,young,female,domestic shorthair,tortoise,Available,shelter,medium,cat,80,
Felicia,NHA-A-24642,adult,Female,domestic shorthair,grey/tortoise,Available,shelter,large,cat,80,
Randy,NHA-A-24811,young,male,domestic shorthair,black/white,Available,shelter,medium,cat,80,
Greg,NHA-A-24832,baby,male,domestic medium hair,grey,pending,shelter,medium,cat,150,
Sprinkle,NHA-A-25032,baby,female,domestic shorthair,black/white,Available,shelter,small,cat,150,
Pilgrim,NHA-A-25088,baby,male,domestic shorthair,grey/white,Available,shelter,small,cat,150,
Missy,NHA-A-25108,baby,Female,domestic shorthair,calico,Available,foster home,small,cat,150,
Do,NHA-A-25105,baby,female,domestic shorthair,brown,Available,shelter,small,cat,150,
Jughead,NHA-A-24611,baby,male,domestic shorthair,brown,Available,shelter,medium,cat,150,
Baby Phatt,NHA-A-24625,young,female,domestic shorthair,tortoise,Available,foster home,large,cat,80,
Betty,NHA-A-24612,baby,female,domestic shorthair,brown,Available,shelter,small,cat,150,
